age,gender,paid_contribution_1,paid_contribution_2,paid_contribution_3,paid_contribution_4,paid_contribution_5,is_spouse,is_absent,capital_resources,patient_type,distance_to_hospital,eligible,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,noise_9,noise_10,noise_11,noise_12,noise_13,noise_14,noise_15,noise_16,noise_17,noise_18,noise_19,noise_20,noise_21,noise_22,noise_23,noise_24,noise_25,noise_26,noise_27,noise_28,noise_29,noise_30,noise_31,noise_32,noise_33,noise_34,noise_35,noise_36,noise_37,noise_38,noise_39,noise_40,noise_41,noise_42,noise_43,noise_44,noise_45,noise_46,noise_47,noise_48,noise_49,noise_50,noise_51,noise_52
75,f,yes,yes,yes,no,yes,True,False,74,in,1,True,87,21,59,65,94,100,17,26,54,6,42,7,94,75,51,72,19,58,58,50,74,85,83,27,31,52,95,77,53,78,22,41,69,79,56,48,58,82,86,81,47,64,61,17,20,48,89,59,28,33,99,79
97,m,no,yes,yes,yes,yes,True,False,2506,out,81,True,98,59,72,100,63,32,92,83,43,91,8,96,73,44,4,79,81,71,99,97,5,81,17,53,66,44,25,96,96,73,53,51,1,40,16,92,81,32,14,65,59,11,56,25,100,85,73,5,68,77,71,62
87,f,no,yes,yes,yes,yes,True,False,1348,in,23,True,51,2,52,27,86,49,16,55,31,34,96,71,9,9,67,77,78,55,94,25,55,9,0,96,31,17,87,63,27,79,89,24,8,0,81,52,15,77,21,88,39,89,9,81,53,28,85,2,32,15,43,73
81,f,yes,yes,yes,yes,yes,True,False,622,out,90,True,35,19,79,79,24,55,18,2,68,64,42,13,95,63,14,95,26,14,65,20,25,96,86,68,38,46,96,64,50,27,55,56,1,73,19,65,41,99,78,68,26,80,7,57,63,73,30,86,1,61,19,85
64,f,yes,yes,yes,yes,yes,True,False,2273,out,79,True,67,53,93,59,21,9,55,53,84,58,21,100,15,69,74,81,26,78,22,72,11,73,65,35,56,49,10,64,81,44,57,99,22,75,25,17,92,81,3,6,98,21,14,87,28,96,88,8,64,83,35,97
95,f,yes,yes,yes,yes,yes,True,False,2870,out,94,True,58,86,92,81,86,89,81,73,52,91,30,13,65,79,72,1,28,3,25,8,70,8,88,66,85,92,29,61,50,6,23,36,91,47,0,86,100,67,99,7,94,85,44,55,13,47,67,83,72,37,73,82
90,m,no,yes,yes,yes,yes,True,False,2206,out,80,True,84,31,61,42,99,80,43,16,100,93,61,98,64,88,64,6,59,57,52,12,36,30,84,47,73,73,55,39,24,93,39,93,53,39,48,70,73,18,91,6,99,82,97,81,19,42,63,7,51,3,12,93
73,m,yes,yes,yes,yes,yes,True,False,2724,out,93,True,4,73,27,41,23,53,92,58,75,9,16,56,61,70,58,37,93,60,76,25,65,24,0,24,33,61,88,37,84,99,46,81,48,77,48,42,57,65,72,52,51,92,46,70,0,3,34,52,34,47,61,57
100,f,yes,yes,no,yes,yes,True,False,981,out,80,True,37,45,25,22,43,44,85,47,66,98,48,44,13,50,76,85,62,64,95,73,52,1,70,41,28,13,95,33,7,13,67,44,97,9,89,26,66,50,77,11,70,22,47,54,83,25,5,35,18,33,19,77
99,m,yes,yes,yes,yes,yes,True,False,2989,in,39,True,88,0,2,50,18,79,78,47,72,0,29,1,81,23,14,15,74,89,69,30,64,59,43,57,76,53,90,31,48,92,20,37,49,77,8,19,82,96,6,30,38,51,42,81,14,40,28,55,90,6,87,8
77,m,yes,yes,yes,yes,yes,True,False,392,in,22,True,91,13,18,41,100,37,82,38,64,43,36,39,88,59,40,61,20,89,97,96,73,49,72,69,55,99,46,30,22,26,5,97,2,24,93,6,46,26,92,53,88,43,84,9,84,40,60,3,92,7,36,51
66,f,yes,yes,no,yes,yes,True,False,1425,in,43,True,72,42,96,21,47,45,82,15,57,100,88,82,75,42,23,44,58,47,49,36,85,19,35,14,72,60,28,96,52,98,29,80,98,40,75,24,74,10,16,52,20,18,10,86,53,9,79,7,41,38,3,82
88,m,no,yes,yes,yes,yes,True,False,1306,out,81,True,12,100,7,96,42,32,60,86,85,1,59,62,32,69,82,28,18,16,59,9,100,54,61,73,18,80,13,64,25,60,79,18,62,81,74,29,49,7,90,17,11,66,62,17,53,68,20,20,81,82,10,52
74,f,yes,yes,yes,yes,yes,True,False,823,out,56,True,6,30,58,2,97,68,44,42,3,15,87,99,40,90,44,84,98,54,81,73,92,60,36,94,60,58,29,9,100,33,9,29,97,63,81,53,3,23,99,40,90,2,66,25,68,36,50,65,6,32,18,71
69,m,yes,yes,no,yes,yes,True,False,2486,in,46,True,86,45,4,52,74,48,16,3,50,92,68,4,94,54,81,43,18,30,36,41,68,17,21,36,76,39,86,92,16,63,2,22,10,36,32,1,53,41,79,74,91,4,62,71,37,8,97,82,58,61,3,27
97,m,yes,yes,yes,no,yes,True,False,1629,in,17,True,53,67,19,28,22,53,43,67,40,46,22,23,65,31,4,6,82,82,100,81,44,18,45,48,61,31,48,98,78,59,10,33,35,8,50,36,59,97,45,81,66,7,8,93,43,80,90,87,76,43,81,89
66,m,yes,yes,yes,yes,yes,True,False,165,in,46,True,9,35,12,28,16,72,87,13,53,86,83,6,73,100,47,12,69,72,86,12,53,58,72,82,23,62,26,89,57,41,5,16,69,61,45,40,12,18,9,10,42,53,91,90,17,1,4,56,56,1,34,63
78,f,yes,yes,yes,yes,yes,True,False,197,out,85,True,61,65,84,70,38,1,4,79,92,30,72,26,17,37,64,24,91,71,20,75,79,35,87,58,37,85,55,37,33,68,51,24,12,65,61,59,65,83,39,89,18,65,75,75,21,53,27,92,44,48,89,36
78,m,yes,yes,yes,yes,yes,True,False,1731,out,71,True,90,20,51,67,85,57,15,44,85,20,39,67,25,61,13,44,17,2,98,70,66,12,98,92,33,62,23,40,41,50,53,41,49,77,3,41,5,89,7,58,61,34,46,99,94,84,5,0,42,9,86,46
66,f,yes,yes,yes,yes,yes,True,False,1306,in,24,True,85,12,2,92,84,47,81,73,15,62,24,63,96,29,80,75,1,98,22,93,25,83,47,17,44,1,85,97,7,33,66,93,77,61,55,20,28,73,28,40,81,56,31,80,49,37,60,23,44,14,84,44
80,m,yes,no,yes,yes,yes,True,False,1067,out,89,True,42,93,33,13,81,62,14,38,93,32,97,68,36,58,66,57,45,44,99,62,7,96,37,91,37,62,41,36,8,63,62,26,3,2,39,15,29,88,68,99,77,22,89,19,93,41,7,26,90,46,2,46
85,m,yes,yes,yes,yes,yes,True,False,1879,in,28,True,87,45,10,27,40,64,34,50,78,66,60,25,29,23,29,15,11,45,47,90,90,29,58,46,51,95,32,76,46,96,51,73,55,1,19,14,52,27,96,71,66,55,38,95,18,80,96,74,22,92,11,32
84,f,yes,yes,no,yes,yes,True,False,2742,in,28,True,2,87,45,4,100,28,0,93,27,64,75,25,72,6,46,81,13,34,98,24,40,25,53,13,20,71,52,88,81,90,20,75,75,77,83,70,7,42,83,95,0,51,51,79,63,30,90,20,61,34,21,46
75,f,no,yes,yes,yes,yes,True,False,1838,out,50,True,17,59,57,39,87,6,46,12,76,3,30,39,54,35,99,52,43,75,61,100,62,77,47,39,58,44,26,42,7,3,91,33,56,87,64,25,23,8,26,9,32,59,61,80,73,25,95,26,84,25,28,55
89,f,yes,yes,yes,yes,yes,True,False,320,in,23,True,36,14,7,88,25,82,15,89,78,27,98,67,100,63,76,40,67,52,15,72,17,32,44,37,37,88,8,32,17,11,30,71,77,48,80,25,49,65,68,32,95,94,52,61,5,22,63,56,41,17,77,45
78,m,yes,yes,yes,yes,yes,True,False,1895,in,20,True,49,69,23,86,88,80,66,53,52,84,76,21,34,6,14,5,6,88,65,18,95,46,34,39,31,90,21,25,35,28,6,69,29,59,42,71,61,19,45,98,58,33,78,6,13,68,6,90,94,73,34,91
88,m,yes,yes,yes,no,yes,True,False,2930,out,52,True,49,26,52,62,35,23,29,47,35,59,15,36,81,53,11,98,9,88,47,95,86,34,37,15,37,66,94,98,33,99,79,36,60,90,94,89,47,24,27,64,7,90,84,6,99,23,14,89,75,32,43,23
73,m,yes,yes,yes,yes,yes,True,False,973,out,63,True,55,86,95,91,41,54,26,4,73,6,39,66,29,100,95,59,64,64,28,5,11,61,23,59,24,89,41,51,54,87,98,70,53,94,23,32,91,71,50,70,47,50,18,54,72,45,92,60,15,29,91,17
86,m,no,yes,yes,yes,yes,True,False,1648,in,35,True,26,23,45,86,89,41,9,11,71,100,59,18,72,64,49,29,72,79,3,61,11,9,92,86,82,40,16,0,47,86,92,10,81,30,84,49,88,65,83,43,84,86,48,52,0,86,99,92,57,8,35,15
89,m,yes,yes,yes,yes,yes,True,False,2359,out,53,True,3,6,87,81,74,59,47,77,98,17,40,60,53,1,84,18,72,50,38,28,56,34,15,79,80,43,79,4,6,17,14,74,75,34,64,99,54,49,97,16,50,74,66,51,1,42,51,9,19,47,17,17
76,m,yes,yes,yes,yes,yes,True,False,2584,out,98,True,29,66,40,38,31,64,39,12,12,60,87,27,38,79,2,91,34,32,80,26,31,61,82,27,28,40,89,81,82,10,20,22,21,14,43,98,5,23,82,72,59,79,54,18,68,74,16,19,34,64,50,32
79,f,yes,no,yes,yes,yes,True,False,2328,out,77,True,86,59,66,21,78,77,38,39,91,5,88,100,4,43,90,89,11,84,82,98,9,89,20,62,85,25,3,55,39,52,30,77,7,6,41,92,83,7,2,90,24,100,58,38,71,64,66,84,21,76,45,43
74,m,yes,yes,yes,yes,no,True,False,400,out,61,True,15,79,91,5,56,36,95,34,51,50,75,68,23,4,26,17,83,85,88,2,90,34,69,96,40,25,21,21,56,97,62,56,46,20,37,79,30,72,51,27,69,0,88,86,20,64,32,94,31,1,86,66
91,f,yes,yes,yes,yes,no,True,False,213,out,77,True,29,53,47,39,53,85,0,32,73,32,25,10,67,1,90,68,42,77,99,58,88,35,64,78,98,66,3,93,4,28,11,81,70,80,50,64,90,60,65,15,95,85,31,81,40,1,86,35,28,32,0,92
99,m,yes,yes,yes,no,yes,True,False,842,in,6,True,0,47,80,78,61,38,73,16,37,87,29,88,38,5,42,70,49,11,75,46,87,4,8,43,16,27,80,17,39,93,77,27,22,36,35,80,90,37,84,2,40,16,48,33,82,87,33,78,63,78,75,45
83,m,yes,yes,no,yes,yes,True,False,789,in,6,True,24,50,33,5,30,59,20,18,86,48,72,83,53,44,5,7,30,6,77,71,58,9,92,12,67,21,82,49,16,0,44,90,71,95,38,53,17,83,27,52,85,6,68,37,89,72,35,42,63,76,70,18
84,f,yes,yes,yes,yes,yes,True,False,865,out,73,True,80,10,79,92,42,13,52,35,42,50,64,51,76,4,39,85,2,16,93,67,53,4,78,4,80,37,89,65,32,64,73,98,7,96,86,93,57,20,46,75,64,52,84,72,73,49,24,95,53,44,52,44
64,f,yes,yes,yes,yes,yes,True,False,1985,out,51,True,88,0,86,35,73,2,79,20,32,72,68,50,62,80,63,93,79,35,14,87,69,76,55,35,16,22,3,35,14,15,2,49,81,67,2,95,94,69,6,46,71,83,79,70,13,45,59,95,50,66,11,0
100,f,yes,yes,yes,yes,yes,True,False,797,out,52,True,10,5,50,1,28,60,96,52,90,1,80,24,65,1,75,72,82,91,54,73,82,60,77,68,38,77,29,88,77,56,59,66,28,3,37,35,74,74,1,28,77,23,46,49,28,4,68,42,32,34,77,8
99,f,yes,yes,yes,yes,no,True,False,2419,in,11,True,37,89,28,66,2,63,51,5,85,88,33,28,83,92,37,51,20,88,8,42,97,40,90,26,83,0,12,14,6,27,44,32,54,60,18,0,68,60,17,82,56,86,33,63,12,56,71,62,32,95,39,44
60,f,no,yes,yes,yes,yes,True,False,902,in,7,True,66,48,97,31,51,71,44,11,94,67,14,75,67,39,83,35,60,83,76,91,40,15,28,72,86,31,36,53,35,30,28,73,76,20,10,42,29,88,39,48,51,69,13,65,54,40,87,15,57,49,4,7
88,m,yes,yes,yes,no,yes,True,False,33,in,26,True,40,45,93,8,61,29,73,5,30,82,91,55,74,43,29,24,79,5,93,18,95,29,46,15,54,58,7,66,4,31,31,47,54,57,58,41,49,53,40,74,62,10,7,37,96,16,84,26,28,41,74,61
66,m,yes,yes,yes,no,yes,True,False,463,in,4,True,99,92,24,98,98,69,83,29,98,17,39,74,35,83,47,65,87,52,55,63,28,93,87,4,85,60,13,1,91,74,70,87,97,43,98,85,59,84,79,41,93,39,68,29,38,4,17,77,52,35,22,52
68,f,yes,yes,yes,yes,yes,True,False,1396,in,26,True,31,8,62,6,95,19,100,3,32,7,88,37,60,74,7,17,84,51,29,89,71,48,51,53,29,83,97,78,76,37,57,72,4,0,3,100,100,76,0,54,65,13,78,99,63,78,56,48,30,22,19,70
79,m,no,yes,yes,yes,yes,True,False,325,in,11,True,24,98,97,63,13,7,64,7,64,47,44,67,23,9,35,20,39,73,37,69,70,55,21,65,79,4,2,38,20,10,0,4,2,6,68,37,45,99,41,85,95,93,88,27,86,93,19,25,34,44,37,84
88,f,yes,yes,yes,yes,yes,True,False,2550,in,23,True,19,0,60,82,32,52,89,32,34,37,50,56,63,60,75,80,1,66,35,87,85,58,21,46,8,87,19,89,85,88,65,19,76,48,35,66,72,51,27,94,73,22,88,41,95,9,51,84,74,90,59,41
85,m,yes,yes,yes,no,yes,True,False,601,out,87,True,65,82,86,28,58,0,6,86,94,23,29,2,99,84,32,2,23,8,71,83,46,29,33,25,26,75,78,85,91,22,84,51,39,38,98,69,55,29,48,3,35,65,72,75,30,53,34,31,85,82,18,76
100,m,yes,yes,yes,no,yes,True,False,2883,out,99,True,60,6,46,82,5,74,26,25,31,47,12,23,0,19,12,35,71,12,89,34,93,63,1,98,90,80,60,98,39,84,56,27,75,8,12,32,25,62,15,8,53,36,54,13,55,30,5,55,74,75,6,9
93,m,yes,yes,yes,yes,yes,True,False,322,out,63,True,94,90,13,72,3,85,14,6,27,19,21,56,5,63,80,69,37,85,39,90,99,88,31,97,87,30,99,98,76,7,25,69,78,48,94,81,43,76,69,53,86,73,54,46,34,16,89,71,76,63,52,80
73,m,yes,yes,yes,yes,no,True,False,1501,out,72,True,67,76,37,13,74,38,75,3,81,66,89,89,13,67,23,11,36,77,15,91,39,43,52,4,55,24,30,47,8,93,57,54,49,5,92,12,42,36,57,73,70,87,49,6,91,30,38,1,44,90,4,53
82,m,yes,yes,yes,yes,no,True,False,1010,out,74,True,23,77,66,23,97,22,54,98,60,76,10,49,48,9,72,41,6,85,97,26,21,25,17,12,61,84,10,59,81,85,73,49,21,74,4,48,51,84,11,89,96,72,19,38,12,100,21,21,54,32,94,9
60,f,yes,yes,yes,yes,yes,True,False,755,in,11,True,17,96,81,14,77,3,31,68,37,64,44,54,66,74,24,6,55,85,29,25,23,13,82,19,21,28,78,10,97,59,82,47,81,61,62,14,75,55,79,92,61,66,28,20,30,9,89,19,4,15,94,4
82,f,yes,yes,no,yes,yes,True,False,482,in,5,True,62,1,6,50,55,10,51,50,72,28,70,64,97,7,6,81,8,36,69,14,73,30,49,70,22,49,16,3,92,21,63,53,94,44,10,7,57,94,19,20,25,13,86,73,40,72,25,9,72,41,35,90
93,m,yes,no,yes,yes,yes,True,False,2865,out,95,True,3,72,94,61,81,26,39,46,59,96,41,37,46,92,50,97,38,3,78,53,51,29,83,57,52,99,86,57,13,85,95,45,58,87,44,37,60,24,46,69,49,77,54,58,37,47,81,7,64,41,45,77
65,f,yes,yes,yes,yes,yes,True,False,983,in,21,True,19,41,83,51,12,6,30,27,31,9,15,33,100,33,100,35,19,35,70,95,72,85,39,80,29,44,5,62,23,16,71,12,40,58,44,45,2,23,21,58,66,41,49,53,41,43,14,80,73,62,91,43
61,f,yes,yes,yes,yes,yes,True,False,760,in,7,True,96,90,49,26,35,30,25,21,38,64,66,1,74,62,24,61,51,44,76,84,40,3,26,21,65,92,22,25,66,5,85,83,97,18,97,43,16,19,48,58,62,94,20,24,98,71,97,89,82,23,2,19
92,m,no,yes,yes,yes,yes,True,False,1578,out,61,True,24,38,35,64,47,60,8,63,24,97,29,36,99,31,56,84,58,1,11,65,51,91,67,46,39,85,73,54,100,80,45,29,92,80,65,48,51,39,90,1,69,79,68,79,2,41,39,22,14,74,13,47
98,f,yes,no,yes,yes,yes,True,False,2009,out,79,True,10,41,19,98,2,77,34,72,85,8,78,59,78,66,49,5,76,90,49,20,58,72,26,40,61,19,89,70,59,86,76,28,25,36,85,75,52,59,100,35,97,71,9,7,26,57,17,49,19,95,51,4
83,f,yes,yes,no,yes,yes,True,False,1075,out,53,True,44,74,36,44,38,6,41,78,26,45,35,49,52,8,44,99,23,31,20,67,95,38,19,92,76,52,24,60,88,17,50,31,29,1,87,70,16,51,16,38,10,37,5,61,9,52,31,37,13,24,62,82
78,f,yes,yes,yes,yes,yes,True,False,1385,out,63,True,12,14,7,16,3,38,55,54,82,25,54,0,28,65,49,41,43,79,10,100,42,33,0,61,93,52,10,42,94,36,92,9,55,81,6,79,80,20,23,23,36,17,68,48,78,78,79,6,54,62,74,59
92,m,yes,yes,yes,yes,yes,True,False,633,in,22,True,64,17,100,52,33,6,84,83,74,84,46,38,13,37,60,83,43,58,18,64,93,31,11,30,1,82,55,30,29,59,64,9,85,31,39,99,67,23,44,21,62,11,90,65,58,3,24,18,25,9,88,31
95,m,yes,yes,no,yes,yes,True,False,561,out,76,True,84,51,9,97,36,34,1,94,10,19,96,11,68,90,36,4,46,51,29,77,69,11,89,1,60,96,67,97,71,58,76,82,58,57,94,22,48,81,22,99,91,43,20,24,37,62,91,33,17,10,75,72
77,f,yes,yes,yes,no,yes,True,False,1445,in,13,True,47,70,5,3,54,84,73,53,26,45,13,51,58,95,25,52,51,73,97,3,47,42,35,98,8,36,7,63,48,21,75,48,86,72,22,67,92,36,89,43,22,45,88,76,67,58,80,24,71,64,17,35
74,m,yes,yes,no,yes,yes,True,False,1847,out,83,True,100,18,20,75,51,72,60,41,2,40,55,82,57,92,81,18,66,22,22,33,70,43,89,16,21,94,59,29,78,87,81,59,30,59,46,61,15,9,36,85,74,88,79,68,13,11,23,3,46,69,53,26
85,m,yes,no,yes,yes,yes,True,False,369,in,19,True,6,10,10,18,0,100,54,73,54,10,99,21,0,17,36,69,49,47,80,83,6,75,98,31,17,58,48,18,25,49,67,87,18,34,100,47,2,41,61,74,56,100,80,22,12,53,2,31,70,86,64,99
100,f,yes,yes,yes,yes,yes,True,False,2476,in,10,True,77,74,88,92,100,14,98,70,37,2,24,3,54,82,34,18,69,87,61,1,18,27,54,56,71,46,85,50,4,46,0,100,64,85,36,11,70,97,90,68,25,5,65,37,93,7,46,59,66,78,76,22
73,m,yes,yes,yes,yes,yes,True,False,2723,out,76,True,93,34,37,24,81,66,72,34,30,79,39,69,49,45,52,15,14,81,77,59,85,23,28,79,25,84,10,49,26,78,40,26,53,29,90,1,8,20,29,42,66,26,16,87,49,3,70,43,95,60,21,92
